"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 13:08:56 UTC 2024","Fri Jun 28 13:08:57 UTC 2024","1181","Select","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:59 UTC 2024","Fri Jun 28 13:09:01 UTC 2024","1567","BaseTrigger","Axe","FilterTrigger Basic usage","","","FilterTrigger Basic usage",""
"passed","Fri Jun 28 13:08:47 UTC 2024","Fri Jun 28 13:08:48 UTC 2024","1187","DataTable","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:44 UTC 2024","Fri Jun 28 13:08:47 UTC 2024","3122","BaseTrigger","Axe","FilterTrigger Basic usage","","","FilterTrigger Basic usage",""
"passed","Fri Jun 28 13:08:40 UTC 2024","Fri Jun 28 13:08:44 UTC 2024","4043","Accordion","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:54 UTC 2024","Fri Jun 28 13:08:55 UTC 2024","605","Input","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:21 UTC 2024","Fri Jun 28 13:09:22 UTC 2024","1259","InlineEdit","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:22 UTC 2024","Fri Jun 28 13:09:23 UTC 2024","817","Input","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:24 UTC 2024","Fri Jun 28 13:09:25 UTC 2024","1523","Select","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:18 UTC 2024","Fri Jun 28 13:09:19 UTC 2024","1330","Dropdown","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:15 UTC 2024","Fri Jun 28 13:09:16 UTC 2024","1003","DataTable","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:48 UTC 2024","Fri Jun 28 13:08:51 UTC 2024","2830","DatePicker","Axe","Single date","","","Single date",""
"passed","Fri Jun 28 13:09:14 UTC 2024","Fri Jun 28 13:09:15 UTC 2024","1707","BaseTrigger","Axe","FilterTrigger Basic usage","","","FilterTrigger Basic usage",""
"passed","Fri Jun 28 13:08:53 UTC 2024","Fri Jun 28 13:08:54 UTC 2024","1328","InlineEdit","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:06 UTC 2024","Fri Jun 28 13:09:08 UTC 2024","1409","InlineEdit","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:57 UTC 2024","Fri Jun 28 13:08:59 UTC 2024","1868","Accordion","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:19 UTC 2024","Fri Jun 28 13:09:21 UTC 2024","1477","DropdownMenu","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:02 UTC 2024","Fri Jun 28 13:09:03 UTC 2024","1570","DatePicker","Axe","Single date","","","Single date",""
"passed","Fri Jun 28 13:09:09 UTC 2024","Fri Jun 28 13:09:10 UTC 2024","850","ScrollArea","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:51 UTC 2024","Fri Jun 28 13:08:52 UTC 2024","970","Dropdown","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:55 UTC 2024","Fri Jun 28 13:08:56 UTC 2024","641","ScrollArea","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:23 UTC 2024","Fri Jun 28 13:09:24 UTC 2024","825","ScrollArea","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:05 UTC 2024","Fri Jun 28 13:09:06 UTC 2024","1847","DropdownMenu","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:12 UTC 2024","Fri Jun 28 13:09:14 UTC 2024","1496","Accordion","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:10 UTC 2024","Fri Jun 28 13:09:11 UTC 2024","1594","Select","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:08 UTC 2024","Fri Jun 28 13:09:09 UTC 2024","827","Input","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:03 UTC 2024","Fri Jun 28 13:09:05 UTC 2024","1275","Dropdown","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:08:52 UTC 2024","Fri Jun 28 13:08:53 UTC 2024","1030","DropdownMenu","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:01 UTC 2024","Fri Jun 28 13:09:02 UTC 2024","1011","DataTable","Axe","Basic usage","","","Basic usage",""
"passed","Fri Jun 28 13:09:16 UTC 2024","Fri Jun 28 13:09:18 UTC 2024","1582","DatePicker","Axe","Single date","","","Single date",""
